id,timestamp,moisture,temperature,humidity
1,2026-01-30 16:21:45.814825,78.17,24.58,30.42
2,2026-01-30 16:21:50.817940,77.95,29.73,33.39
3,2026-01-30 16:21:55.822963,76.8,25.1,46.25
4,2026-01-30 16:22:00.827189,75.76,28.58,56.29
5,2026-01-30 16:22:05.833231,75.32,27.35,34.47
6,2026-01-30 16:22:10.838165,73.39,32.78,46.97
7,2026-01-30 16:22:15.842286,73.62,30.31,36.87
8,2026-01-30 16:22:20.846216,71.91,26.32,45.94
9,2026-01-30 16:22:25.852693,71.03,24.59,52.07
10,2026-01-30 16:22:30.857408,69.65,26.34,35.03
11,2026-01-30 16:22:35.860982,68.67,31.15,49.55
12,2026-01-30 16:22:40.866309,68.01,25.14,59.26
13,2026-01-30 16:22:45.868567,66.79,32.3,59.06
14,2026-01-30 16:22:50.874031,65.54,30.31,53.59
15,2026-01-30 16:22:55.878584,64.96,31.71,59.92
16,2026-01-30 16:23:00.881447,63.64,26.02,54.52
17,2026-01-30 16:23:05.879732,62.98,20.93,46.16
18,2026-01-30 16:23:10.880227,62.5,23.7,46.41
19,2026-01-30 16:23:15.883084,61.26,20.86,50.04
20,2026-01-30 16:23:20.885812,61.33,23.85,34.46
21,2026-01-30 16:23:25.886592,59.9,29.5,49.65
22,2026-01-30 16:23:30.891307,59.32,31.3,55.98
23,2026-01-30 16:23:35.893473,57.99,33.36,31.94
24,2026-01-30 16:23:40.897453,57.48,33.24,36.09
25,2026-01-30 16:23:45.904380,55.75,25.45,36.71
26,2026-01-30 16:23:50.907005,55.69,33.24,56.05
27,2026-01-30 16:23:55.912415,54.63,22.65,54.7
28,2026-01-30 16:24:00.914278,52.84,27.44,58.75
29,2026-01-30 16:24:05.918264,52.92,32.81,51.27
30,2026-01-30 16:24:10.922964,51.44,25.57,59.1
31,2026-01-30 16:24:15.927390,51.27,25.7,58.68
32,2026-01-30 16:24:20.930527,50.38,26.55,47.84
33,2026-01-30 16:24:25.931381,49.87,33.67,54.79
34,2026-01-30 16:24:30.934077,48.17,24.67,39.74
35,2026-01-30 16:24:35.939442,46.42,22.33,32.14
36,2026-01-30 16:24:40.946113,45.96,28.58,55.42
37,2026-01-30 16:24:45.951720,45.1,23.06,48.15
38,2026-01-30 16:24:50.956085,44.97,29.66,46.61
39,2026-01-30 16:24:55.960425,43.86,26.76,32.52
40,2026-01-30 16:25:00.962544,42.67,22.35,46.35
41,2026-01-30 16:25:05.966945,40.93,28.8,41.48
42,2026-01-30 16:25:10.972060,39.98,20.94,46.45
43,2026-01-30 16:25:15.977641,39.01,20.74,55.09
44,2026-01-30 16:25:20.979959,37.96,34.92,41.41
45,2026-01-30 16:25:25.982848,36.39,24.92,53.3
46,2026-01-30 16:25:30.983326,34.79,25.84,42.78
47,2026-01-30 16:25:35.988790,34.2,23.08,53.63
48,2026-01-30 16:25:40.992571,33.83,32.67,42.59
49,2026-01-30 16:25:45.996843,31.8,28.97,53.48
50,2026-01-30 16:25:50.997608,30.77,27.97,36.51
51,2026-01-30 16:25:56.000861,30.53,28.84,52.29
52,2026-01-30 16:26:01.005170,29.4,20.61,44.28
53,2026-01-30 16:26:06.005666,28.56,26.22,33.58
54,2026-01-30 16:26:11.010856,27.28,27.0,40.07
55,2026-01-30 16:26:16.014737,25.62,20.12,31.49
56,2026-01-30 16:26:21.016209,84.8,32.13,41.72
57,2026-01-30 16:26:26.021642,84.33,20.96,42.61
58,2026-01-30 16:26:31.023123,83.29,28.31,33.81
59,2026-01-30 16:26:36.026193,82.67,22.87,35.99
60,2026-01-30 16:26:41.031641,81.13,30.2,54.27
61,2026-01-30 16:26:46.032270,80.96,23.17,55.27
62,2026-01-30 16:26:51.037947,80.15,34.73,47.13
63,2026-01-30 16:26:56.043466,79.44,34.08,34.36
64,2026-01-30 16:27:01.050263,77.11,29.43,49.82
65,2026-01-30 16:27:06.053865,76.35,28.83,34.27
66,2026-01-30 16:27:11.057493,75.08,28.16,35.2
67,2026-01-30 16:27:16.058251,74.54,21.53,51.31
68,2026-01-30 16:27:21.063863,73.91,29.14,33.97
69,2026-01-30 16:27:26.067552,72.96,34.9,52.58
70,2026-01-30 16:27:31.070846,71.63,21.53,47.37
71,2026-01-30 16:27:36.076464,70.69,26.62,56.82
72,2026-01-30 16:27:41.079835,69.65,24.35,47.21
73,2026-01-30 16:27:46.081157,67.98,20.72,35.5
74,2026-01-30 16:27:51.087068,67.06,24.33,47.21
75,2026-01-30 16:27:56.092469,65.9,31.62,57.29
76,2026-01-30 16:28:01.097163,65.07,31.05,42.26
77,2026-01-30 16:28:06.103444,63.26,29.55,38.37
78,2026-01-30 16:28:11.106814,62.93,24.89,45.43
79,2026-01-30 16:28:16.110558,61.98,31.38,35.68
80,2026-01-30 16:28:21.114313,60.9,26.51,45.65
81,2026-01-30 16:28:26.117649,60.44,22.47,38.85
82,2026-01-30 16:28:31.120122,58.14,34.96,37.88
83,2026-01-30 16:28:36.122113,56.72,22.12,50.21
84,2026-01-30 16:28:41.127661,55.77,27.92,31.94
85,2026-01-30 16:28:46.132078,55.66,22.96,32.55
86,2026-01-30 16:28:51.136196,54.29,24.35,48.95
87,2026-01-30 16:28:56.141976,53.96,33.33,56.21
